fecha,trigo,maiz,sorgo,girasol,soja,tipo_cambio_bna_vendedor,trigo_usd,maiz_usd,sorgo_usd,girasol_usd,soja_usd
2020-02-21,1193000,850000,820000,1480000,1450500,61.839,19292.032536101815,13745.371044163068,13260.240301427903,23933.11664160158,23456.07141124533
2020-02-26,1200000,817000,820000,1485000,1350000,62.089,19327.0949765659,13158.530496545281,13206.848233986697,23917.280033500298,21742.981848636635
2020-02-27,1205000,805000,820000,1486500,1352000,62.139,19392.008239591883,12954.827081221132,13196.221374660036,23922.174479795296,21757.672315293134
2020-02-28,1221500,809000,820000,1488000,1370000,62.21,19635.10689599743,13004.34013824144,13181.160585114932,23918.98408615978,22022.18292878958
2020-03-02,1240000,813000,810000,1420000,1370000,62.259,19916.79917762894,13058.353009203489,13010.167204741483,22807.947445349266,22004.850704315842
2020-03-04,1212000,845000,808000,1390000,1436000,62.359,19435.847271444378,13550.570086114274,12957.231514296252,22290.28688721756,23027.951057585913
2020-03-05,1220000,835000,810000,1430000,1430000,62.419,19545.330748650253,13377.337028789312,12976.817956071069,22909.69095948349,22909.69095948349
2020-03-06,1215000,830000,810000,1432500,1420000,62.48,19446.222791293214,13284.2509603073,12964.14852752881,22927.336747759284,22727.272727272728
2020-03-09,1215000,816500,815000,1402500,1384000,62.53,19430.67327682712,13057.732288501518,13033.743802974572,22429.233967695505,22133.375979529825
2020-03-10,1205000,842000,815000,1390000,1384000,62.589,19252.58431992842,13452.843151352474,13021.457444598891,22208.375273610378,22112.511783220692
2020-03-11,1212000,872000,815000,1387000,1385000,62.67,19339.396840593585,13914.153502473273,13004.627413435455,22131.801499920217,22099.888303813626
2020-03-12,1200000,852000,815000,1390000,1378000,62.819,19102.500835734412,13562.775593371432,12973.781817602954,22127.063468059026,21936.038459701682
2020-03-13,1195000,860000,796500,1390000,1379000,62.899,18998.712221179987,13672.713397669278,12663.15839679486,22098.920491581743,21924.036948123183
2020-03-16,1194000,848000,798000,1382000,1349000,63.039,18940.655784514347,13451.990037913038,12658.83024794175,21922.93659480639,21399.45113342534
2020-03-17,1190000,850000,800000,1385000,1354000,63.179,18835.372513018567,13453.837509298975,12662.435302869624,21921.841118093038,21431.171750106838
2020-03-18,1190000,820500,800000,1385000,1385000,63.33,18790.46265592926,12955.945049739461,12632.243802305386,21869.572082741197,21869.572082741197
2020-03-19,1204000,850000,792000,1387000,1393000,63.549,18946.010165384192,13375.505515429038,12462.823962611528,21825.677823411857,21920.093156461942
2020-03-20,1208000,875000,800000,1400000,1345000,63.77,18943.07668182531,13721.1855104281,12545.083895248548,21953.89681668496,21091.422298886624
2020-03-25,1225000,916000,850000,1417000,1402000,64.05,19125.68306010929,14301.327088212334,13270.88212334114,22123.341139734584,21889.14910226386
2020-03-26,1240000,941000,832000,1434000,1415000,64.229,19305.921001416806,14650.702953494527,12953.65022030547,22326.363480670727,22030.546949197404
2020-03-30,1253000,920000,867600,1452500,1427000,64.469,19435.697777226265,14270.42454513022,13457.63079929889,22530.2083171757,22134.669375979156
2020-04-01,1265000,902000,868500,1454000,1370000,64.53,19603.285293661862,13977.994731132807,13458.856345885635,22532.15558654889,21230.43545637688
2020-04-02,1269000,930000,871000,1480000,1374000,64.72,19607.540173053152,14369.592088998765,13457.972805933252,22867.737948084054,21229.91347342398
2020-04-03,1262000,925000,900000,1488000,1380000,64.91,19442.304729625637,14250.500693267602,13865.352025881992,22924.04868279156,21260.20643968572
2020-04-06,1263500,895000,900000,1490000,1350000,64.99,19441.45253115864,13771.349438375135,13848.284351438684,22926.604092937378,20772.426527158026
2020-04-07,1265000,876000,900000,1524500,1362500,65.069,19440.901197190673,13462.631975287772,13831.471207487435,23428.975395349553,20939.310578001812
2020-04-09,1285000,890000,877000,1546000,1350000,65.16,19720.687538367096,13658.686310620013,13459.177409453654,23726.21240024555,20718.232044198896
2020-04-13,1271000,858000,912500,1564000,1336000,65.38,19440.195778525544,13123.279290302846,13956.867543591314,23921.68858978281,20434.383603548486
2020-04-14,1273000,860000,910000,1567000,1365000,65.5,19435.114503816792,13129.770992366412,13893.129770992366,23923.664122137405,20839.69465648855
2020-04-15,1276000,850000,916000,1570000,1373800,65.619,19445.58740608665,12953.565278349259,13959.37152349167,23925.99704353922,20936.009387524955
2020-04-16,1278000,845000,917500,1573000,1376300,65.74,19440.21904472163,12853.665956799514,13956.495284453911,23927.593550349866,20935.503498630973
2020-04-17,1280000,822000,886500,1576000,1390000,65.86,19435.165502581232,12481.020346188885,13460.370482842392,23929.54752505314,21105.375037959308
2020-04-20,1290000,803000,888000,1579000,1358000,65.98,19551.379205819943,12170.354652925129,13458.623825401635,23931.49439224007,20581.99454380115
2020-04-21,1300000,785000,882000,1581000,1361000,66.09,19670.146769556664,11877.742472386139,13345.438039037675,23921.92464820699,20593.130579512785
2020-04-22,1305000,792500,890000,1585000,1370000,66.23,19704.06160350294,11965.876491016155,13438.019024611203,23931.75298203231,20685.489959232975
