fecha,trigo,maiz,sorgo,girasol,soja
15/01/2021,2005000,1796500,1796000,3995000,3002500
18/01/2021,2027000,1786500,1803500,4036500,3014000
19/01/2021,2027000,1815000,1806000,4042500,2950000
20/01/2021,2033000,1792000,1826500,4049000,2935000
21/01/2021,2027000,1767500,1828000,4035000,2910000
22/01/2021,2004000,1730000,1831000,4016000,2830000
25/01/2021,1968000,1734000,1838000,3990000,2844000
26/01/2021,1965000,1780000,1845000,3980000,2870000
27/01/2021,1930000,1738000,1851000,3980000,2835000
28/01/2021,1920000,1740000,1860000,3980000,2854000
29/01/2021,1920000,1743000,1873000,4182000,2875000
01/02/2021,1927000,1748000,1879000,4020000,2880000
02/02/2021,1915000,1765000,1881000,4025000,2887500
03/02/2021,1905000,1770000,1885000,4029500,2917000
04/02/2021,1910000,1791000,1875000,4035000,2912000
05/02/2021,1890000,1791000,1850000,3995000,2910000
08/02/2021,1900000,1817000,1850000,4047000,2900000
09/02/2021,1887000,1795000,1849000,4007000,2920000
10/02/2021,1890000,1763000,1851000,4010000,2855000
11/02/2021,1890000,1765000,1853000,3972000,2900000
12/02/2021,1870000,1767000,1855000,3975000,2910000
17/02/2021,1863500,1815000,1908000,3993500,2937500
18/02/2021,1884000,1817000,1910500,3998700,2915000
19/02/2021,1868000,1805000,1912000,4002000,2935000
22/02/2021,1892000,1784500,1918000,4015000,2920000
23/02/2021,1876000,1831000,1930000,4020000,2955000
24/02/2021,1879000,1790000,1942000,4026500,2962000
25/02/2021,1890000,1768000,1952000,4030000,2935000
26/02/2021,1875000,1770000,1963000,4033000,2937000
01/03/2021,1885000,1744000,1977500,4045000,2925000
02/03/2021,1925000,1736000,1979000,4048000,2944000
03/03/2021,1917000,1712000,1980000,4051500,2935000
04/03/2021,1930000,1721000,1982000,4054000,2973000
05/03/2021,1930000,1768000,1984000,4058000,2976000
08/03/2021,1945000,1744000,1988000,4070000,2980000
09/03/2021,1950000,1762000,1990000,4071000,2996000
10/03/2021,1955000,1737000,1991500,4090000,2987000
11/03/2021,1950000,1740000,1993000,4090000,3000000
12/03/2021,1950000,1731500,1995000,4090000,3000000
15/03/2021,1955000,1772000,2020000,4100000,3027000
16/03/2021,1964000,1818500,2027000,4110000,3037000
17/03/2021,1965600,1818500,2029000,4110000,3012000
18/03/2021,1958500,1790000,2095000,4110000,3005000
19/03/2021,1969000,1823200,2095000,4110000,3030000
22/03/2021,1974000,1809000,2101500,4130000,3024000
23/03/2021,1995000,1829000,2103000,4160000,3036000
25/03/2021,2010000,1830000,2106000,4165000,3022000
26/03/2021,2000000,1840000,2107000,4197000,3010000
29/03/2021,1955000,1798000,2109500,4200000,2990000
30/03/2021,1950000,1780000,2100000,4203000,2945000
31/03/2021,1925000,1845000,2110000,4223000,3060000
05/04/2021,1930000,1841000,2100000,4417900,2991000
06/04/2021,1930000,1850000,2100000,4420000,3011000
07/04/2021,1930000,1870000,2100000,4422000,2980000
08/04/2021,1940000,1927000,2100000,4425000,3005000
09/04/2021,1948000,1928000,2094000,4427500,2999000
12/04/2021,1950000,1894000,2078500,4427500,2956000
13/04/2021,1945000,1939000,2079400,4340000,2978000
14/04/2021,1940000,1935000,2080500,4300000,3024000
15/04/2021,1940000,1941500,2035000,4200000,3025000
16/04/2021,1944800,1940000,2080000,4170000,3074600
19/04/2021,1960000,1960000,2040000,4175000,3069000
20/04/2021,1962000,1962000,2041000,4174000,3131000
21/04/2021,1968000,1976000,2023000,4177000,3156000
22/04/2021,1990000,1995000,2023000,4179000,3232000
23/04/2021,1998000,1996000,1998000,4163000,3238000
26/04/2021,2040000,1983000,1990000,4140000,3225000
27/04/2021,2040000,1993000,1960000,4116000,3175000
28/04/2021,2035000,2005000,1958000,4150000,3170000
29/04/2021,2052000,2006000,1959000,4199000,3100000
30/04/2021,2050000,2054000,1959000,4199000,3081000
03/05/2021,2056000,2094000,1962000,4205000,3090000
04/05/2021,2104000,2155000,1964000,4208000,3142000
05/05/2021,2105000,2227000,1950000,4210000,3170000
06/05/2021,2150000,2230000,1918500,4211500,3230000
07/05/2021,2193000,2294000,1900000,4215000,3300000
10/05/2021,2140000,2230000,1910000,4218000,3280000
11/05/2021,2155000,2280000,1910000,4219000,3350000
12/05/2021,2157000,2204000,1910000,4220000,3395000
13/05/2021,2158000,2092000,1876000,4221000,3237000
14/05/2021,2159000,2017500,1877000,4223000,3232000
17/05/2021,2161000,2022000,1879000,4227000,3260000
18/05/2021,2161000,2020000,1879000,4229000,3255000
19/05/2021,2160000,1973000,1880000,4230000,3240000
20/05/2021,2130000,2020000,1880000,4232000,3235000
21/05/2021,2070000,1976000,1881000,4233000,3292500
26/05/2021,2050000,1910000,1838500,4243000,3205500
27/05/2021,2060000,2028000,1839400,4245000,3254300
28/05/2021,2066500,1981500,1840000,4246000,3199000
31/05/2021,2070000,1957000,1796000,4254000,3205000
01/06/2021,2070000,2032500,1749000,4254000,3235000
02/06/2021,2070000,1986000,1749500,4210000,3215000
03/06/2021,2072000,1970000,1740000,4210000,3177000
04/06/2021,2083000,1990000,1750000,4213000,3171000
07/06/2021,2083000,1950000,1735000,4218000,3162000
08/06/2021,2086000,1972000,1725000,4219000,3167000
09/06/2021,2087000,1945000,1727000,4220000,3150000
10/06/2021,2088000,1955000,1727000,4223500,3110000
11/06/2021,2070000,1915000,1727000,4225000,3040000
14/06/2021,2065000,1837000,1730000,4230000,2997000
15/06/2021,2050000,1815000,1712000,4185000,2998000
16/06/2021,2030000,1815000,1712000,4185000,2998000
17/06/2021,2000000,1742000,1713000,3997000,2855100
18/06/2021,1995000,1789000,1713000,3810000,2950000
22/06/2021,1950000,1770000,1715000,3700000,2954000
23/06/2021,1955000,1760000,1716000,3336000,2955000
24/06/2021,1950000,1764000,1716300,3242000,2917000
25/06/2021,1910000,1765000,1717000,3200000,2910000
28/06/2021,1910000,1780000,1719000,3200000,2960000
29/06/2021,1910000,1790000,1719000,3200000,2940000
30/06/2021,1910000,1824500,1719500,3200000,3037500
01/07/2021,1921000,1840000,1720000,3249000,3068000
02/07/2021,1931000,1811500,1720500,3250000,3106000
05/07/2021,1933000,1810000,1722000,3253000,3115000
06/07/2021,1935000,1704000,1722000,3254000,3000000
07/07/2021,1940000,1725000,1723000,3255000,3050000
08/07/2021,1940000,1735000,1724000,3257000,3068000
12/07/2021,1949000,1752000,1726000,3260000,3121500
13/07/2021,1966000,1796000,1726500,3261000,3165000
14/07/2021,1990000,1919000,1680000,3310000,3180000
15/07/2021,2000000,1850000,1680000,3320000,3190000
16/07/2021,2015000,1855000,1680000,3330000,3250000
19/07/2021,2020000,1810000,1586000,3360000,3180000
20/07/2021,2020000,1810000,1587000,3360000,3230000
21/07/2021,2020000,1850000,1587000,3360000,3231000
22/07/2021,2020000,1790000,1587500,3367000,3185000
23/07/2021,2021000,1780000,1587500,3367000,3185000
26/07/2021,2023000,1754000,1589000,3372000,3180000
27/07/2021,2023000,1783000,1590000,3373000,3202000
28/07/2021,2023000,1755000,1591000,3375000,3205000
29/07/2021,2000000,1800000,1592000,3424000,3240000
30/07/2021,1978000,1805000,1592000,3473000,3194000
02/08/2021,2107000,1815000,1595000,3525000,3220000
03/08/2021,2070000,1830000,1594000,3530000,3188000
04/08/2021,2029000,1836000,1595000,3575000,3198000
05/08/2021,2098000,1837000,1576000,3578000,3239000
06/08/2021,2120000,1847000,1576000,3578000,3240000
09/08/2021,2125000,1840000,1578000,3582000,3195000
10/08/2021,2130000,1840000,1590000,3630000,3245000
11/08/2021,2179000,1850000,1590000,3660000,3260000
12/08/2021,2228000,1898000,1590000,3680000,3290000
13/08/2021,2258000,1915000,1598000,3700000,3320000
17/08/2021,2203000,1844000,1600000,3726000,3338000
18/08/2021,2203000,1844000,1601500,3785000,3353000
19/08/2021,2204000,1796000,1602000,3883000,3301000
20/08/2021,2204000,1796500,1602000,3885000,3320000
23/08/2021,2206500,1810000,1604000,3888000,3305000
24/08/2021,2200000,1848000,1605000,3890000,3360000
25/08/2021,2218000,1858000,1605000,3891000,3371000
26/08/2021,2230000,1860000,1606000,3893000,3397000
30/08/2021,2243000,1784500,1609000,4096000,3276000
31/08/2021,2235000,1805000,1609400,4097000,3275000
01/09/2021,2235000,1815000,1600000,4098000,3255000
02/09/2021,2236000,1855000,1611000,4100000,3290000
03/09/2021,2246000,1860000,1611500,4060000,3330000
06/09/2021,2246000,1855000,1613000,4025000,3325000
07/09/2021,2250000,1868000,1513500,4010000,3300000
08/09/2021,2250000,1897000,1614000,4010000,3326000
09/09/2021,2250000,1908000,1614500,4012000,3327000
10/09/2021,2251500,1912000,1615000,4013500,3330000
13/09/2021,2254000,1913800,1666000,4017500,3361000
14/09/2021,2254000,1940000,1666000,4020000,3395000
15/09/2021,2255000,1962000,1618000,4120000,3431500
16/09/2021,2256000,1982000,1640000,4220000,3435000
17/09/2021,2270000,1968000,1646000,4300000,3436000
20/09/2021,2270000,2005000,1670000,4400000,3380000
21/09/2021,2270000,1990000,1641000,4420000,3410000
22/09/2021,2280000,1990000,1641000,4472000,3440000
23/09/2021,2311000,1996000,1640000,4524000,3442000
24/09/2021,2360000,2016000,1672000,4544000,3443000
27/09/2021,2333000,2017000,1673000,4567000,3446000
28/09/2021,2363000,1999000,1674000,4569000,3397000
29/09/2021,2365000,2020000,1675000,4600000,3405000
30/09/2021,2365000,1990000,1675000,4602000,3390000
01/10/2021,2396000,1942000,1676000,4605000,3382000
04/10/2021,2407000,1934000,1677000,4617000,3384000
05/10/2021,2418000,1924500,1678000,4637000,3414000
06/10/2021,2418500,1925000,1678000,4640000,3415000
07/10/2021,2419000,1960000,1678500,4600000,3445000
12/10/2021,2423000,1875000,1681000,4600000,3365000
13/10/2021,2374000,1830000,1680000,4600000,3403000
14/10/2021,2355000,1855000,1682000,4602000,3460000
15/10/2021,2375500,1881000,1682500,4603000,3474000
18/10/2021,2280000,1900000,1684000,4610000,3487000
19/10/2021,2280000,1910000,1685000,4610000,3518500
21/10/2021,2271000,1920000,1655000,4800000,3510000
22/10/2021,2271500,1920000,1655000,4800000,3490000
25/10/2021,2273500,1900000,1638000,4800000,3504500
26/10/2021,2250000,1900000,1639500,4800000,3500000
27/10/2021,2280000,1900000,1641000,4800000,3495000
28/10/2021,2280000,1900000,1641500,4760000,3492000
29/10/2021,2290000,1911000,1642000,4730000,3485000
01/11/2021,2316000,1923000,1643000,4730000,3505000
02/11/2021,2392000,1923000,1670000,4730000,3522000
03/11/2021,2363000,1935000,1695000,4730000,3515000
04/11/2021,2434000,1915000,1695000,4730000,3462000
05/11/2021,2400000,1912000,1685000,4730000,3430000
08/11/2021,2407000,1947500,1698000,4730000,3400000
09/11/2021,2418000,1998000,1698500,4731500,3453000
10/11/2021,2448000,1999000,1799000,4731500,3475000
11/11/2021,2429000,1999500,1799500,4718000,3478000
12/11/2021,2410000,2000000,1800000,4720000,3510000
15/11/2021,2365000,2002000,1801000,4723000,3590000
16/11/2021,2370000,2005000,1802000,4724000,3580000
17/11/2021,2355000,2026000,1802700,4720000,3618000
18/11/2021,2355000,2025000,1850000,4720000,3590000
19/11/2021,2305000,2025000,1905000,4720000,3590000
